Time,Altitude,Altitude_BMP390,Temperature_BMP390,Acceleration_X_BNO085,Acceleration_Y_BNO085,Acceleration_Z_BNO085,Magnetic_X_BNO085,Magnetic_Y_BNO085,Magnetic_Z_BNO085,Gyro_X_BNO085,Gyro_Y_BNO085,Gyro_Z_BNO085,Quaternion_W_BNO085,Quaternion_X_BNO085,Quaternion_Y_BNO085,Quaternion_Z_BNO085,Acceleration_X_ICM20649,Acceleration_Y_ICM20649,Acceleration_Z_ICM20649,Gyro_X_ICM20649,Gyro_Y_ICM20649,Gyro_Z_ICM20649
842.3598969,174.4019895,190.3555818,8.126172253,5.40625,-0.48828125,79.359375,15.5625,30.9375,-33.5,0.111328125,-0.103515625,-1.34375,0.08740234375,0.05792236328,0.07110595703,0.9919433594,-1.570596289,1.819593262,97.28120186,0.2294242026,0.1185758074,-1.377344603
842.3932302,183.7737165,193.091754,8.112438794,5.0625,-0.91015625,79.36328125,13.625,29.8125,-33.5,0.076171875,-0.212890625,-1.416015625,0.08740234375,0.05792236328,0.07110595703,0.9919433594,1.13963999,3.878606689,94.07297163,0.2592680014,0.1159111825,-1.45515165
842.4265635,191.7029975,195.1963757,8.126172253,4.71875,-0.83203125,79.36328125,12.5625,30.875,-33.875,0.076171875,-0.212890625,-1.416015625,0.08795166016,0.05657958984,0.03607177734,0.9938354492,0.6991068848,3.476380811,100.2787423,0.3373415105,0.08500153385,-1.467142462
842.4598968,200.7629562,198.1162758,8.126172253,3.9140625,-0.48828125,79.36328125,12.5625,30.875,-33.875,0.0625,-0.287109375,-1.443359375,0.08758544922,0.05310058594,-0.0008544921875,0.9947509766,0.4979939453,1.896207715,95.46160859,0.3874364584,0.09379479597,-1.471405862
842.4932301,210.4572879,201.1346184,8.130750066,3.3359375,-0.41015625,79.36328125,11.875,32.6875,-33.1875,0.068359375,-0.302734375,-1.4453125,0.08758544922,0.05310058594,-0.0008544921875,0.9947509766,1.417367383,1.541865869,99.11037192,0.3783767337,0.1039203705,-1.440229751
842.5265634,221.8738159,204.8716001,8.121594437,2.1484375,-0.140625,79.359375,8.625,34,-34.625,0.068359375,-0.302734375,-1.4453125,0.08715820313,0.04876708984,-0.03741455078,0.9942626953,1.675941162,0.4692635254,92.84714038,0.3149586615,0.1084502328,-1.39839514
842.5598967,232.4365699,207.8791928,8.121594437,1.65234375,-0.3359375,79.359375,8.625,34,-34.625,0.08203125,-0.275390625,-1.37890625,0.08709716797,0.04455566406,-0.07299804688,0.9925537109,-2.327164014,-0.3064578125,96.97474404,0.3368085855,0.1404257315,-1.319788706
842.59323,243.8284369,211.4484472,8.130750066,1.19140625,-0.21875,79.36328125,6.375,34.3125,-33.5625,0.08203125,-0.212890625,-1.255859375,0.08709716797,0.04455566406,-0.07299804688,0.9925537109,-1.417367383,-4.692635254,92.71306509,0.2624655512,0.1886554419,-1.220931123
842.6265633,255.5347313,215.0188228,8.126172253,0.88671875,-0.6015625,79.36328125,4.875,34.6875,-36.4375,0.08203125,-0.212890625,-1.255859375,0.08721923828,0.04138183594,-0.1057128906,0.9896850586,2.116474268,-2.815581152,91.38188896,0.2227626404,0.105252683,-1.135396664
842.6598966,266.9559155,218.3950673,8.121594437,0.734375,-1.0234375,79.36328125,4.875,34.6875,-36.4375,0.078125,-0.109375,-1.119140625,0.08764648438,0.04016113281,-0.1343994141,0.9862060547,-2.796427539,-1.628057129,95.82552725,0.05649004757,0.06448392223,-1.090630966
